Date,Open,High,Low,Close,Adj Close,Volume
2022-12-05," 475,080.00 "," 476,689.00 "," 466,160.00 "," 468,700.00 "," 468,700.00 "," 4,100.00 "
2022-12-06," 467,175.00 "," 469,659.00 "," 462,422.00 "," 464,838.00 "," 464,838.00 "," 2,700.00 "
2022-12-07," 464,303.00 "," 467,081.00 "," 460,408.00 "," 461,593.00 "," 461,593.00 "," 2,900.00 "
2022-12-08," 462,436.00 "," 464,619.00 "," 460,612.00 "," 462,780.00 "," 462,780.00 "," 2,600.00 "
2022-12-09," 461,773.00 "," 466,120.00 "," 459,402.00 "," 463,000.00 "," 463,000.00 "," 2,800.00 "
2022-12-12," 465,650.00 "," 471,235.00 "," 461,796.00 "," 471,080.00 "," 471,080.00 "," 3,900.00 "
2022-12-13," 482,503.00 "," 483,393.00 "," 469,410.00 "," 472,000.00 "," 472,000.00 "," 3,000.00 "
2022-12-14," 473,079.00 "," 477,700.00 "," 466,452.00 "," 468,020.00 "," 468,020.00 "," 2,900.00 "
2022-12-15," 464,249.00 "," 464,249.00 "," 452,975.00 "," 457,460.00 "," 457,460.00 "," 3,400.00 "
2022-12-16," 453,163.00 "," 457,890.00 "," 450,050.00 "," 454,620.00 "," 454,620.00 "," 3,000.00 "
2022-12-19," 456,494.00 "," 457,244.00 "," 450,245.00 "," 455,280.00 "," 455,280.00 "," 3,800.00 "
2022-12-20," 457,049.00 "," 460,698.00 "," 446,545.00 "," 457,400.00 "," 457,400.00 "," 2,700.00 "
2022-12-21," 463,000.00 "," 469,220.00 "," 459,151.00 "," 467,600.00 "," 467,600.00 "," 3,000.00 "
2022-12-22," 465,427.00 "," 469,810.00 "," 450,709.00 "," 458,700.00 "," 458,700.00 "," 3,200.00 "
2022-12-23," 458,596.00 "," 463,510.00 "," 455,892.00 "," 463,400.00 "," 463,400.00 "," 2,800.00 "
2022-12-27," 475,795.00 "," 476,155.00 "," 461,000.00 "," 461,955.00 "," 461,955.00 "," 4,500.00 "
2022-12-28," 465,000.00 "," 465,235.00 "," 445,251.00 "," 459,800.00 "," 459,800.00 "," 3,000.00 "
2022-12-29," 462,715.00 "," 470,000.00 "," 460,730.00 "," 468,725.00 "," 468,725.00 "," 3,000.00 "
2022-12-30," 469,317.00 "," 469,317.00 "," 462,800.00 "," 468,711.00 "," 468,711.00 "," 3,400.00 "
2023-01-03," 472,950.00 "," 473,990.00 "," 465,020.00 "," 469,525.00 "," 469,525.00 "," 5,300.00 "
2023-01-04," 477,479.00 "," 479,897.00 "," 470,151.00 "," 476,260.00 "," 476,260.00 "," 3,700.00 "
2023-01-05," 481,229.00 "," 481,229.00 "," 469,228.00 "," 473,660.00 "," 473,660.00 "," 3,400.00 "
2023-01-06," 475,990.00 "," 484,151.00 "," 473,300.00 "," 481,955.00 "," 481,955.00 "," 3,900.00 "
2023-01-09," 483,575.00 "," 487,989.00 "," 476,653.00 "," 478,385.00 "," 478,385.00 "," 5,500.00 "
2023-01-10," 476,224.00 "," 479,698.00 "," 474,512.00 "," 479,420.00 "," 479,420.00 "," 3,500.00 "
2023-01-11," 482,167.00 "," 484,897.00 "," 478,730.00 "," 483,990.00 "," 483,990.00 "," 3,600.00 "
2023-01-12," 486,177.00 "," 488,688.00 "," 480,600.00 "," 482,860.00 "," 482,860.00 "," 3,800.00 "
2023-01-13," 482,430.00 "," 482,430.00 "," 478,000.00 "," 481,021.00 "," 481,021.00 "," 3,900.00 "
2023-01-17," 481,590.00 "," 483,993.00 "," 475,695.00 "," 476,000.00 "," 476,000.00 "," 5,700.00 "
2023-01-18," 477,497.00 "," 479,229.00 "," 465,831.00 "," 466,260.00 "," 466,260.00 "," 4,100.00 "
2023-01-19," 462,498.00 "," 465,065.00 "," 460,233.00 "," 461,950.00 "," 461,950.00 "," 3,600.00 "
2023-01-20," 463,914.00 "," 469,755.00 "," 460,635.00 "," 469,645.00 "," 469,645.00 "," 3,800.00 "
2023-01-23," 471,129.00 "," 473,025.00 "," 464,929.00 "," 469,600.00 "," 469,600.00 "," 5,300.00 "
2023-01-24," 465,721.00 "," 473,445.00 "," 465,720.00 "," 471,000.00 "," 471,000.00 "," 3,500.00 "
2023-01-25," 468,228.00 "," 472,800.00 "," 464,975.00 "," 471,657.00 "," 471,657.00 "," 3,800.00 "
2023-01-26," 474,037.00 "," 475,336.00 "," 468,469.00 "," 469,960.00 "," 469,960.00 "," 3,900.00 "
2023-01-27," 468,410.00 "," 472,885.00 "," 466,576.00 "," 470,000.00 "," 470,000.00 "," 4,200.00 "
2023-01-30," 466,790.00 "," 469,540.00 "," 464,932.00 "," 465,040.00 "," 465,040.00 "," 5,300.00 "
2023-01-31," 467,724.00 "," 473,000.00 "," 463,085.00 "," 473,000.00 "," 473,000.00 "," 3,900.00 "
2023-02-01," 469,923.00 "," 473,690.00 "," 464,527.00 "," 470,606.00 "," 470,606.00 "," 4,400.00 "
2023-02-02," 473,852.00 "," 474,898.00 "," 467,055.00 "," 472,115.00 "," 472,115.00 "," 4,600.00 "
2023-02-03," 471,303.00 "," 471,795.00 "," 462,757.00 "," 466,755.00 "," 466,755.00 "," 4,600.00 "
2023-02-06," 465,407.00 "," 467,096.00 "," 462,434.00 "," 467,000.00 "," 467,000.00 "," 5,000.00 "
2023-02-07," 467,394.00 "," 475,500.00 "," 463,820.00 "," 474,555.00 "," 474,555.00 "," 4,100.00 "
2023-02-08," 471,620.00 "," 475,125.00 "," 467,125.00 "," 467,999.00 "," 467,999.00 "," 4,000.00 "
2023-02-09," 470,094.00 "," 472,222.00 "," 466,020.00 "," 466,020.00 "," 466,020.00 "," 3,700.00 "
2023-02-10," 466,217.00 "," 472,500.00 "," 463,632.00 "," 472,250.00 "," 472,250.00 "," 4,100.00 "
2023-02-13," 469,036.00 "," 477,979.00 "," 469,036.00 "," 476,500.00 "," 476,500.00 "," 5,500.00 "
2023-02-14," 478,387.00 "," 478,387.00 "," 470,145.00 "," 472,500.00 "," 472,500.00 "," 3,900.00 "
2023-02-15," 473,091.00 "," 473,091.00 "," 467,800.00 "," 469,045.00 "," 469,045.00 "," 4,300.00 "
2023-02-16," 466,586.00 "," 470,625.00 "," 465,037.00 "," 467,295.00 "," 467,295.00 "," 3,800.00 "
2023-02-17," 473,104.00 "," 473,104.00 "," 462,482.00 "," 467,373.00 "," 467,373.00 "," 4,000.00 "
2023-02-21," 464,947.00 "," 466,575.00 "," 455,290.00 "," 458,495.00 "," 458,495.00 "," 6,400.00 "
2023-02-22," 459,152.00 "," 463,635.00 "," 457,927.00 "," 460,012.00 "," 460,012.00 "," 4,100.00 "
2023-02-23," 463,105.00 "," 463,830.00 "," 455,627.00 "," 459,375.00 "," 459,375.00 "," 4,100.00 "
