Date,Open,High,Low,Close,Adj Close,Volume
2022-12-05, 180.99 , 183.68 , 173.59 , 175.93 , 175.93 ," 3,525,400.00 "
2022-12-06, 175.02 , 175.78 , 169.70 , 173.54 , 173.54 ," 3,392,300.00 "
2022-12-07, 172.31 , 180.38 , 171.85 , 179.00 , 179.00 ," 3,579,300.00 "
2022-12-08, 179.12 , 185.21 , 177.52 , 184.70 , 184.70 ," 3,414,000.00 "
2022-12-09, 185.00 , 185.41 , 177.10 , 177.35 , 177.35 ," 3,497,800.00 "
2022-12-12, 175.53 , 175.77 , 162.78 , 165.13 , 165.13 ," 5,202,200.00 "
2022-12-13, 187.33 , 208.52 , 184.02 , 197.54 , 197.54 ," 26,239,600.00 "
2022-12-14, 195.08 , 217.25 , 192.54 , 208.95 , 208.95 ," 21,435,200.00 "
2022-12-15, 207.61 , 212.44 , 202.09 , 207.25 , 207.25 ," 9,641,000.00 "
2022-12-16, 206.37 , 209.85 , 190.62 , 193.29 , 193.29 ," 11,819,400.00 "
2022-12-19, 200.00 , 204.00 , 187.86 , 189.89 , 189.89 ," 6,953,300.00 "
2022-12-20, 189.00 , 204.22 , 187.54 , 201.16 , 201.16 ," 9,561,800.00 "
2022-12-21, 201.85 , 210.22 , 199.75 , 210.04 , 210.04 ," 7,584,000.00 "
2022-12-22, 209.82 , 212.47 , 201.61 , 208.34 , 208.34 ," 5,374,600.00 "
2022-12-23, 206.69 , 208.99 , 197.56 , 199.08 , 199.08 ," 6,166,000.00 "
2022-12-27, 199.90 , 201.43 , 179.83 , 180.17 , 180.17 ," 6,736,000.00 "
2022-12-28, 180.00 , 183.75 , 174.51 , 176.50 , 176.50 ," 5,525,600.00 "
2022-12-29, 178.19 , 182.50 , 175.40 , 178.86 , 178.86 ," 3,746,800.00 "
2022-12-30, 176.22 , 179.69 , 172.31 , 179.62 , 179.62 ," 3,436,000.00 "
2023-01-03, 180.85 , 184.39 , 178.23 , 178.99 , 178.99 ," 4,027,900.00 "
2023-01-04, 182.42 , 183.61 , 175.63 , 177.36 , 177.36 ," 2,840,900.00 "
